timestamp,battery_voltage,humidity,rssi,snr,temperature,gateway_id,losant_id
2024-11-08T18:23:14.287Z,3.624,60.4,-107,8.5,17.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T18:43:14.047Z,3.624,60.4,-103,8.2,17.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T19:23:13.610Z,3.624,60.6,-87,6.2,16.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T19:43:13.401Z,3.624,60.8,-102,8.5,17.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T20:03:13.156Z,3.624,60.4,-103,9,18.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T20:23:12.890Z,3.624,59.8,-102,4.5,21.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T20:43:12.719Z,3.624,60,-103,7.2,23.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T21:03:12.511Z,3.624,59.9,-103,9,25.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T21:23:12.229Z,3.624,59.7,-101,8.8,27.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T22:23:11.594Z,3.618,59.7,-102,7,30.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T22:43:11.311Z,3.618,59.5,-105,8.5,31.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T23:03:11.124Z,3.618,59.2,-105,8.8,33,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T23:23:10.894Z,3.618,59,-102,7.5,33.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T23:43:10.673Z,3.618,58.8,-105,6,33.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T00:03:10.422Z,3.618,58.6,-102,8.2,33.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T00:23:10.222Z,3.618,58.6,-102,7.8,34.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T00:43:09.993Z,3.618,58.3,-105,8,35.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T01:03:09.795Z,3.618,58.3,-105,7.5,35.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T01:43:09.344Z,3.618,57.9,-103,6.2,36.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T02:03:09.127Z,3.618,58.1,-102,8,35.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T02:23:08.910Z,3.618,58.2,-103,8.2,35.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T02:43:08.682Z,3.618,57.9,-105,7,36.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T03:03:08.487Z,3.618,58.1,-102,6.2,37.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T03:43:08.033Z,3.618,57.7,-103,7.5,37.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T04:23:07.601Z,3.618,57.5,-102,8.5,37.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-09T04:43:07.346Z,3.612,57.5,-107,8.2,37.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
